Code NAC,N1,N2,Niveau 1,Niveau 2,Intitulé NAC
10,1,10,Droit des personnes,Nationalité,Nationalité
10A,1,10,Droit des personnes,Nationalité,Demande tendant à contester l'enregistrement ou le refus d'enregistrement d'une déclaration de nationalité
10B,1,10,Droit des personnes,Nationalité,Action déclaratoire ou négatoire de nationalité
10C,1,10,Droit des personnes,Nationalité,Contestation sur une question de nationalité soulevée par voie de question préjudicielle
10D,1,10,Droit des personnes,Nationalité,Demande tendant à contester l'enregistrement d'une déclaration de nationalité
10E,1,10,Droit des personnes,Nationalité,Demande tendant à contester le refus d'enregistrement d'une déclaration de nationalité
10F,1,10,Droit des personnes,Nationalité,Action déclaratoire de nationalité
10G,1,10,Droit des personnes,Nationalité,Action négatoire de nationalité
10H,1,10,Droit des personnes,Nationalité,Action en contestation du refus de délivrance d'un certificat de nationalité française
10Z,1,10,Droit des personnes,Nationalité,Autres demandes en matière de nationalité
11,1,11,Droit des personnes,État civil,Etat civil
11A,1,11,Droit des personnes,État civil,Demande de jugement déclaratif d'un acte de l'état civil ou de reconstitution d'un acte ou d'un registre de l'état civil détruit
11B,1,11,Droit des personnes,État civil,Demande de rectification d'un acte de l'état civil
11C,1,11,Droit des personnes,État civil,Demande sanctionnant le dysfonctionnement de l'état civil
11D,1,11,Droit des personnes,État civil,Demande d'annulation d'un acte d'état civil ou des pièces en tenant lieu
11E,1,11,Droit des personnes,État civil,Demande de modification de la mention du sexe dans les actes d'état civil
11F,1,11,Droit des personnes,État civil,Contestation d'une décision d'irrecevabilité d'une déclaration conjointe de PACS
11G,1,11,Droit des personnes,État civil,Demande aux fins d'annulation de PACS
11Z,1,11,Droit des personnes,État civil,Autres demandes concernant l'état civil
12,1,12,Droit des personnes,Nom - Prénom,Nom - Prénom
12A,1,12,Droit des personnes,Nom - Prénom,"Demande de changement, de substitution ou de reprise de nom d'un enfant naturel"
12B,1,12,Droit des personnes,Nom - Prénom,Demande relative à l'usage du nom d'un conjoint ou d'un ex-conjoint
12C,1,12,Droit des personnes,Nom - Prénom,Contestation du choix du prénom par le procureur de la République
12D,1,12,Droit des personnes,Nom - Prénom,Demande de changement de prénom après opposition du procureur de la République
12E,1,12,Droit des personnes,Nom - Prénom,Demande de changement de nom après opposition du procureur de la République
12Z,1,12,Droit des personnes,Nom - Prénom,Autres demandes en matière de nom ou de prénom
13,1,13,Droit des personnes,Absence et disparition,Absence et disparition
13A,1,13,Droit des personnes,Absence et disparition,Demande de jugement déclaratif de décès en cas de disparition
13B,1,13,Droit des personnes,Absence et disparition,Demande d'annulation d'un jugement déclaratif de décès
